plz,stadtteil,preis,groesse,zimmer,a_name,link
10707,Wilmersdorf,440000,60.3,2.0,zentrale-lage-in-charlottenburg-bezugsfrei-suedbalkon,https://www.ebay-kleinanzeigen.de/s-anzeige/zentrale-lage-in-charlottenburg-bezugsfrei-suedbalkon/2154676917-196-3534
12305,Tempelhof,485000,100.18,3.0,sonnige-grosszuegige-gartenwohnung-in-bester-lichtenrader-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/sonnige-grosszuegige-gartenwohnung-in-bester-lichtenrader-lage/2132173854-196-3410
13359,Gesundbrunnen,238000,68.0,3.0,eigentumswohnung-in-13359-berlin-gottschalkstr-,https://www.ebay-kleinanzeigen.de/s-anzeige/eigentumswohnung-in-13359-berlin-gottschalkstr-/2157156615-196-26762
12051,Neukölln,412000,67.0,3.0,provisionsfrei-bezugsfrei-3-zwhg-nahe-tempelhofer-feld,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-bezugsfrei-3-zwhg-nahe-tempelhofer-feld/2157152179-196-3393
10318,Karlshorst,375255,88.5,3.0,nur-wenige-3-4-zi-wohnungen-uebrig-top-kapitalanlage-karlshorst,https://www.ebay-kleinanzeigen.de/s-anzeige/nur-wenige-3-4-zi-wohnungen-uebrig-top-kapitalanlage-karlshorst/2157137397-196-25917
10625,Charlottenburg,798500,75.46,2.0,berlin-moderne-und-helle-penthousewohnung-obj-5915,https://www.ebay-kleinanzeigen.de/s-anzeige/berlin-moderne-und-helle-penthousewohnung-obj-5915/1963500101-196-3342
12105,Tempelhof,275000,66.52,2.0,blick-ins-gruene-vermietete-eigentumswohnung-fuer-kapitalanleger,https://www.ebay-kleinanzeigen.de/s-anzeige/blick-ins-gruene-vermietete-eigentumswohnung-fuer-kapitalanleger/2157037806-196-3408
10709,Wilmersdorf,749000,83.0,3.0,gepflegte-altbauwohnung-mit-terrasse-nahe-adenauerplatz,https://www.ebay-kleinanzeigen.de/s-anzeige/gepflegte-altbauwohnung-mit-terrasse-nahe-adenauerplatz/2157018855-196-3535
13595,Spandau,605000,76.78,3.0,moderne-3-zimmer-wohnung-sucht-eigentuemer-,https://www.ebay-kleinanzeigen.de/s-anzeige/moderne-3-zimmer-wohnung-sucht-eigentuemer-/2157013617-196-3433
13595,Spandau,483000,60.33,3.0,moderne-3-zimmer-wohnung-an-der-havel-,https://www.ebay-kleinanzeigen.de/s-anzeige/moderne-3-zimmer-wohnung-an-der-havel-/2157010828-196-3433
12169,Steglitz,599000,122.0,4.0,ruhig-altbau-2-balkone,https://www.ebay-kleinanzeigen.de/s-anzeige/ruhig-altbau-2-balkone/1354695942-196-3420
10315,Lichtenberg,295000,50.0,1.0,neubau-eigentumswohnungen-in-lichtenberg-als-investment-oder-eigennutzung,https://www.ebay-kleinanzeigen.de/s-anzeige/neubau-eigentumswohnungen-in-lichtenberg-als-investment-oder-eigennutzung/2132564591-196-3544
13403,Reinickendorf,450000,94.0,4.0,wunsch-erfuellt-gepflegte-4-zimmerwohnung-mit-grosser-suedterrasse,https://www.ebay-kleinanzeigen.de/s-anzeige/wunsch-erfuellt-gepflegte-4-zimmerwohnung-mit-grosser-suedterrasse/2156923522-196-3462
13357,Gesundbrunnen,323582,55.79,2.0,ab-dem-1-7-bezugsfrei-2-zimmer-erdgeschosswohnung-mit-terrasse,https://www.ebay-kleinanzeigen.de/s-anzeige/ab-dem-1-7-bezugsfrei-2-zimmer-erdgeschosswohnung-mit-terrasse/2051265242-196-26761
10997,Kreuzberg,449000,100.0,4.0,vermietete-4-zimmer-altbauwohnung-im-beliebten-wrangel-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-4-zimmer-altbauwohnung-im-beliebten-wrangel-kiez/2022468253-196-3401
13189,Pankow,649000,93.79,3.0,provisionsfrei-tolle-3-zi-etw-in-begehrter-wohnlage-von-pankow-sued,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-tolle-3-zi-etw-in-begehrter-wohnlage-von-pankow-sued/2156880983-196-3472
10437,Prenzlauer,730000,90.0,3.0,helmholzkiez-3-zimmer-oase-gartenhaus-3-og-2-balkone-aufzug,https://www.ebay-kleinanzeigen.de/s-anzeige/helmholzkiez-3-zimmer-oase-gartenhaus-3-og-2-balkone-aufzug/2151979783-196-3491
