plz,stadtteil,preis,groesse,zimmer,a_name,link
10707,Wilmersdorf,440000.0,60.3,2.0,zentrale-lage-in-charlottenburg-bezugsfrei-suedbalkon,https://www.ebay-kleinanzeigen.de/s-anzeige/zentrale-lage-in-charlottenburg-bezugsfrei-suedbalkon/2154676917-196-3534
14169,Zehlendorf,795000.0,135.0,4.0,helle-maisonette-wohnung-in-berlin-zehlendorf,https://www.ebay-kleinanzeigen.de/s-anzeige/helle-maisonette-wohnung-in-berlin-zehlendorf/2150793160-196-3529
12305,Tempelhof,485000.0,100.18,3.0,sonnige-grosszuegige-gartenwohnung-in-bester-lichtenrader-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/sonnige-grosszuegige-gartenwohnung-in-bester-lichtenrader-lage/2132173854-196-3410
10777,Schöneberg,2777777.0,423.87,5.0,extravagantes-design-loft-sucht-neue-herausforderung,https://www.ebay-kleinanzeigen.de/s-anzeige/extravagantes-design-loft-sucht-neue-herausforderung/1934436496-196-9644
13359,Gesundbrunnen,238000.0,68.0,3.0,eigentumswohnung-in-13359-berlin-gottschalkstr-,https://www.ebay-kleinanzeigen.de/s-anzeige/eigentumswohnung-in-13359-berlin-gottschalkstr-/2157156615-196-26762
12051,Neukölln,412000.0,67.0,3.0,provisionsfrei-bezugsfrei-3-zwhg-nahe-tempelhofer-feld,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-bezugsfrei-3-zwhg-nahe-tempelhofer-feld/2157152179-196-3393
10318,Karlshorst,375255.0,88.5,3.0,nur-wenige-3-4-zi-wohnungen-uebrig-top-kapitalanlage-karlshorst,https://www.ebay-kleinanzeigen.de/s-anzeige/nur-wenige-3-4-zi-wohnungen-uebrig-top-kapitalanlage-karlshorst/2157137397-196-25917
10625,Charlottenburg,798500.0,75.46,2.0,berlin-moderne-und-helle-penthousewohnung-obj-5915,https://www.ebay-kleinanzeigen.de/s-anzeige/berlin-moderne-und-helle-penthousewohnung-obj-5915/1963500101-196-3342
13353,Wedding,239000.0,41.99,2.0,bezugsfreie-dachgeschoss-maisonette-im-gepflegten-altbau,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-dachgeschoss-maisonette-im-gepflegten-altbau/2157094552-196-3507
10711,Charlottenburg,8500000.0,275.0,5.0,-2-wohneinheiten-muenchen-bogenhausen-engl-garten-,https://www.ebay-kleinanzeigen.de/s-anzeige/-2-wohneinheiten-muenchen-bogenhausen-engl-garten-/1772099761-196-3344
10315,Lichtenberg,173512.0,42.32,1.0,provisionsfrei-vermietet-1-zimmer-investment-in-aufstrebendem-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-vermietet-1-zimmer-investment-in-aufstrebendem-kiez/1265868984-196-3544
12105,Tempelhof,275000.0,66.52,2.0,blick-ins-gruene-vermietete-eigentumswohnung-fuer-kapitalanleger,https://www.ebay-kleinanzeigen.de/s-anzeige/blick-ins-gruene-vermietete-eigentumswohnung-fuer-kapitalanleger/2157037806-196-3408
10709,Wilmersdorf,749000.0,83.0,3.0,gepflegte-altbauwohnung-mit-terrasse-nahe-adenauerplatz,https://www.ebay-kleinanzeigen.de/s-anzeige/gepflegte-altbauwohnung-mit-terrasse-nahe-adenauerplatz/2157018855-196-3535
13629,Charlottenburg,157000.0,49.76,2.5,solide-kapitalanlage-vermietete-altbauwohnung-mit-balkon-in-berlin-siemensstadt,https://www.ebay-kleinanzeigen.de/s-anzeige/solide-kapitalanlage-vermietete-altbauwohnung-mit-balkon-in-berlin-siemensstadt/2157013602-196-3334
13595,Spandau,605000.0,76.78,3.0,moderne-3-zimmer-wohnung-sucht-eigentuemer-,https://www.ebay-kleinanzeigen.de/s-anzeige/moderne-3-zimmer-wohnung-sucht-eigentuemer-/2157013617-196-3433
13595,Spandau,483000.0,60.33,3.0,moderne-3-zimmer-wohnung-an-der-havel-,https://www.ebay-kleinanzeigen.de/s-anzeige/moderne-3-zimmer-wohnung-an-der-havel-/2157010828-196-3433
12169,Steglitz,599000.0,122.0,4.0,ruhig-altbau-2-balkone,https://www.ebay-kleinanzeigen.de/s-anzeige/ruhig-altbau-2-balkone/1354695942-196-3420
10315,Lichtenberg,295000.0,50.0,1.0,neubau-eigentumswohnungen-in-lichtenberg-als-investment-oder-eigennutzung,https://www.ebay-kleinanzeigen.de/s-anzeige/neubau-eigentumswohnungen-in-lichtenberg-als-investment-oder-eigennutzung/2132564591-196-3544
10179,Mitte,6000000.0,300.0,7.0,exklusives-architekten-unikat-fuer-moderne-ansprueche-in-ruhiger-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/exklusives-architekten-unikat-fuer-moderne-ansprueche-in-ruhiger-lage/2050996208-196-3521
13403,Reinickendorf,450000.0,94.0,4.0,wunsch-erfuellt-gepflegte-4-zimmerwohnung-mit-grosser-suedterrasse,https://www.ebay-kleinanzeigen.de/s-anzeige/wunsch-erfuellt-gepflegte-4-zimmerwohnung-mit-grosser-suedterrasse/2156923522-196-3462
13357,Gesundbrunnen,323582.0,55.79,2.0,ab-dem-1-7-bezugsfrei-2-zimmer-erdgeschosswohnung-mit-terrasse,https://www.ebay-kleinanzeigen.de/s-anzeige/ab-dem-1-7-bezugsfrei-2-zimmer-erdgeschosswohnung-mit-terrasse/2051265242-196-26761
13595,Spandau,1049000.0,150.0,4.0,herrlicher-gehobener-altbautraum-mit-2-balkonen-in-verkehrsberuhigter-lage-,https://www.ebay-kleinanzeigen.de/s-anzeige/herrlicher-gehobener-altbautraum-mit-2-balkonen-in-verkehrsberuhigter-lage-/2156913478-196-3433
10997,Kreuzberg,449000.0,100.0,4.0,vermietete-4-zimmer-altbauwohnung-im-beliebten-wrangel-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-4-zimmer-altbauwohnung-im-beliebten-wrangel-kiez/2022468253-196-3401
12559,Köpenick,135000.0,36.5,1.5,vermietete-eigentumswohnung-nahe-der-altstadt-koepenick-provisionsfrei-fuer-den-kaeufer-,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-eigentumswohnung-nahe-der-altstadt-koepenick-provisionsfrei-fuer-den-kaeufer-/2156895593-196-3364
